"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT05","WT08"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-02-29","9.17",,"0.00","0.0","0.0","46","53","38","  340","  340","16.1","21.9",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-01","13.65",,"1.11","0.0","0.0","45","49","40","   90","   80","21.0","30.0","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-02","4.47",,"0.00","0.0","0.0","48","62","42","   90","   30","12.1","17.0","    1","    1",,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-03","4.92",,"0.00","0.0","0.0","57","70","49","  150","   70","10.1","16.1","    1","    1",,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-04","6.26",,"0.00","0.0","0.0","60","63","57","   90","   20","10.1","19.9","    1","    1",,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-05","8.50",,"1.02","0.0","0.0","58","61","55","   90","   90","18.1","25.1","    1",,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-06","7.61",,"2.36","0.0","0.0","60","65","56","  320","  310","17.0","23.0","    1",,"    1",,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-07","5.82",,"0.00","0.0","0.0","62","76","53","  310","  280","13.0","27.1",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-08","11.41",,"1.45","0.0","0.0","63","66","59","   90","   60","23.9","31.1","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-09","11.18",,"0.65","0.0","0.0","61","69","52","  310","  300","25.9","36.9","    1","    1",,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-10","17.45",,"0.00","0.0","0.0","53","61","43","  310","  290","25.9","38.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-11","6.71",,"0.00","0.0","0.0","51","67","38","  340","  340","15.0","28.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-12","5.82",,"0.00","0.0","0.0","57","74","44","  290","  270","13.0","17.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-13","4.03",,"0.00","0.0","0.0","61","75","47","  250","  250","15.0","21.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-14","4.70",,"0.00","0.0","0.0","66","81","52","  210","  190","14.1","18.1",,,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-15","8.50",,"0.36","0.0","0.0","67","72","61","  260","  240","15.0","21.9","    1",,"    1",,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-16","8.05",,"0.00","0.0","0.0","65","75","57","  290","  270","16.1","25.1","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-17","8.05",,"0.02","0.0","0.0","60","67","53","  230","  220","16.1","21.9","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-18","14.09",,"0.00","0.0","0.0","54","61","40","  310","  290","29.1","38.9",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-19","10.07",,"0.00","0.0","0.0","45","60","33","  330","  310","19.9","25.9",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-20","7.61",,"0.00","0.0","0.0","55","74","42","  300","  320","17.0","25.1",,,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-21","3.80",,"0.00","0.0","0.0","64","77","51","  100","   70","8.1","12.1",,,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-22","11.86",,"0.25","0.0","0.0","62","65","56","   80","  100","23.9","32.0","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-23","14.76",,"0.04","0.0","0.0","60","69","50","  340","   20","29.1","40.0","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-24","10.51",,"0.00","0.0","0.0","54","65","43","  100","  110","19.9","28.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-25","15.21",,"0.00","0.0","0.0","55","64","47","  100","  110","23.9","33.1",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-26","11.41",,"0.72","0.0","0.0","59","62","53","  130","  150","21.9","33.1","    1",,"    1",,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-27","9.17",,"0.00","0.0","0.0","60","74","53","  300","  300","18.1","25.1","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-28","13.42",,"0.00","0.0","0.0","59","68","50","  320","  320","29.1","38.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-29","5.59",,"0.00","0.0","0.0","58","72","43","  280","  270","13.0","18.1",,,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-30","8.05",,"0.00","0.0","0.0","63","77","49","  260","  240","21.0","27.1",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-03-31","8.05",,"0.00","0.0","0.0","67","80","56","  210","  230","16.1","21.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-01","9.62",,"0.00","0.0","0.0","69","78","65","  230","  240","17.0","25.9",,,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-02","10.74",,"2.66","0.0","0.0","72","81","64","  310","  310","23.0","31.1","    1",,"    1",,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-03","14.32",,"0.75","0.0","0.0","64","68","50","  300","  260","25.9","40.0","    1",,"    1",,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-04","13.65",,"0.00","0.0","0.0","54","65","44","  310","  310","29.1","40.9",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-05","10.29",,"0.00","0.0","0.0","53","64","43","  330","  350","19.9","27.1",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-06","6.93",,"0.00","0.0","0.0","53","66","40","  280","  340","15.0","19.9",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-07","4.70",,"0.00","0.0","0.0","57","74","45","   70","   30","15.0","21.9",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-08","6.26",,"0.00","0.0","0.0","65","76","55","  200","  170","15.0","23.0",,,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-09","6.49",,"0.69","0.0","0.0","63","66","58","  280","  280","17.0","25.1","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-10","9.62",,"0.26","0.0","0.0","64","73","60","  130","  120","31.1","46.1","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-11","15.21",,"0.21","0.0","0.0","67","75","55","  240","  240","32.0","48.1","    1",,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-12","16.33",,"0.00","0.0","0.0","59","69","51","  280","  300","35.1","48.1",,,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-13","9.40",,"0.00","0.0","0.0","62","77","48","  320","  340","21.9","34.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-14","7.16",,"0.00","0.0","0.0","69","85","54","  230","  230","17.0","25.1",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-15","7.83",,"0.00","0.0","0.0","72","84","59","  220","  180","16.1","23.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-16","4.92",,"0.00","0.0","0.0","72","84","61","  210","  190","13.0","19.9",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-17","6.71",,"0.08","0.0","0.0","72","80","66","  200","  210","18.1","25.9","    1",,"    1",,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-18","4.25",,"0.00","0.0","0.0","72","85","61","  250","  250","18.1","25.9","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-19","7.61",,"0.00","0.0","0.0","75","86","67","  270","  230","16.1","21.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-20","9.84",,"0.50","0.0","0.0","73","79","57","  290","  300","17.0","28.0","    1",,"    1",,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-21","10.96",,"0.52","0.0","0.0","57","60","50","  330","  330","21.0","29.1","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-22","6.93",,"0.00","0.0","0.0","55","67","44","  320","  340","14.1","21.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-23","6.93",,"0.00","0.0","0.0","59","72","46","  230","  260","16.1","23.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-24","8.05",,"0.00","0.0","0.0","64","76","54","  260","  250","16.1","23.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-25","3.58",,"0.00","0.0","0.0","68","80","56","  280","  270","12.1","16.1",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-26","8.95",,"0.00","0.0","0.0","72","82","61","   80","   90","21.0","27.1",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-27","8.95",,"0.00","0.0","0.0","67","77","61","  150","  140","15.0","23.0",,,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-28","8.05",,"0.00","0.0","0.0","69","79","60","  140","  140","16.1","23.9","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-29","7.16",,"0.00","0.0","0.0","69","79","59","  180","  140","14.1","19.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-04-30","5.82",,"0.06","0.0","0.0","70","78","64","  360","  340","14.1","19.9",,,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-01","3.58",,"0.00","0.0","0.0","74","85","61","  280","   30","12.1","16.1","    1",,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-02","4.47",,"0.00","0.0","0.0","76","86","64","  140","  140","14.1","21.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-03","6.49",,"0.00","0.0","0.0","79","87","70","  200","  200","18.1","27.1",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-04","5.82",,"0.03","0.0","0.0","73","80","64","  260","  260","21.0","30.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-05","6.49",,"0.00","0.0","0.0","74","87","66","  220","  200","17.0","23.0",,,"    1",,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-06","6.71",,"0.01","0.0","0.0","75","86","67","  220","  220","16.1","25.1",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-07","7.83",,"0.00","0.0","0.0","76","84","68","  230","  230","17.0","23.0",,,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-08","8.72",,"0.00","0.0","0.0","78","87","72","  190","  210","14.1","21.0",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-09","9.84",,"0.68","0.0","0.0","74","78","66","  360","  360","28.0","38.0","    1",,"    1",,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-10","12.08",,"0.17","0.0","0.0","73","82","63","  320","  290","23.9","34.0","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-11","6.93",,"0.00","0.0","0.0","67","76","55","  300","  270","16.1","25.9",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-12","5.82",,"0.00","0.0","0.0","69","81","59","  330","  330","16.1","21.9",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-13","6.04",,"0.03","0.0","0.0","66","67","63","  130","  110","19.9","30.0","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-14","6.04",,"0.02","0.0","0.0","68","78","63","  190","   60","13.0","19.0","    1","    1",,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-15","10.96",,"0.00","0.0","0.0","73","81","66","  290","  310","19.9","29.1","    1",,"    1",,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-16","7.83",,"0.00","0.0","0.0","73","85","62","  280","  270","17.0","27.1",,,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-17","5.14",,"0.02","0.0","0.0","72","73","68","  200","  200","14.1","19.9","    1",,,,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-18","5.82",,"0.09","0.0","0.0","71","77","66","  310","  310","21.0","25.1","    1","    1","    1",,
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-19","7.83",,"0.00","0.0","0.0","71","83","65","   50","   40","15.0","19.9","    1",,,,"    1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2024-05-20","6.04",,"0.00","0.0","0.0","74","85","64","   90","   80","13.0","21.9",,,,,
